LSOA11CD,LAD11NM,PTAL Score,lsoademographics_White,lsoademographics_Mixed/multiple ethnic groups,lsoademographics_Asian/Asian British,lsoademographics_Black/African/Caribbean/Black British,lsoademographics_Other ethnic group,lsoademographics_BAME,lsoademographics_White (%),lsoademographics_Mixed/multiple ethnic groups (%),lsoademographics_Asian/Asian British (%),lsoademographics_Black/African/Caribbean/Black British (%),lsoademographics_Other ethnic group (%),lsoademographics_BAME (%),lsoademographics_United Kingdom,lsoademographics_Not United Kingdom,lsoademographics_% United Kingdom,lsoademographics_% Not United Kingdom,lsoademographics_Households with at least one person aged 16 or over with English as a main language,lsoademographics_Households where no people aged 16 or over have English as a main language,lsoademographics_% of households with at least one person aged 16 or over with English as a main language,lsoademographics_% of households where no people aged 16 or over have English as a main language,lsoademographics_Christian,lsoademographics_Buddhist,lsoademographics_Hindu,lsoademographics_Jewish,lsoademographics_Muslim,lsoademographics_Sikh,lsoademographics_Other religion,lsoademographics_No religion,lsoademographics_Religion not stated,lsoademographics_Christian (%),lsoademographics_Buddhist (%),lsoademographics_Hindu (%),lsoademographics_Jewish (%),lsoademographics_Muslim (%),lsoademographics_Sikh (%),lsoademographics_Other religion (%),lsoademographics_No religion (%),lsoademographics_Religion not stated (%),IMD only_LSOA name (2011),IMD only_Index of Multiple Deprivation (IMD) Score,IMD only_Income Score (rate),IMD only_Employment Score (rate),"IMD only_Education, Skills and Training Score",IMD only_Health Deprivation and Disability Score,IMD only_Crime Score,IMD only_Barriers to Housing and Services Score,IMD only_Living Environment Score,lsoahouseprices_House Prices;Median Price;2014,Mean and Median Incomes_2012/13mean,Mean and Median Incomes_2012/13median,lsoaages_All Ages,lsoaages_0-15,lsoaages_16-29,lsoaages_30-44,lsoaages_45-64,lsoaages_65+,lsoaages_Working-age
E01000339,Bexley,4.67548,1417,27,44,32,10,113,92.6,1.8,2.9,2.1,0.7,7.4,1435,95,93.8,6.2,595,7,98.8,1.2,950,6,14,0,15,9,5,396,135,62.1,0.4,0.9,0,1,0.6,0.3,25.9,8.8,Bexley 025A,16.3,0.1,0.1,23.2,-0.3,-0.2,16.8,12.7,300000,48600,40190,1530,296,232,261,447,294,940
E01000340,Bexley,2.61588,1379,12,70,36,5,123,91.8,0.8,4.7,2.4,0.3,8.2,1386,116,92.3,7.7,612,7,98.9,1.1,942,13,13,0,26,18,1,369,120,62.7,0.9,0.9,0,1.7,1.2,0.1,24.6,8,Bexley 018A,12.8,0.1,0,19.8,-0.5,-0.6,27.2,28.1,271250,46400,38520,1502,275,228,286,424,289,938
E01000342,Bexley,2.81472,1492,28,52,15,8,103,93.5,1.8,3.3,0.9,0.5,6.5,1500,95,94,6,634,10,98.4,1.6,1035,7,17,0,11,3,8,404,110,64.9,0.4,1.1,0,0.7,0.2,0.5,25.3,6.9,Bexley 022B,8.9,0,0,17.7,-1,-0.2,21.4,24,250000,49400,40790,1595,303,283,393,382,234,1058
E01000344,Bexley,4.49253,1498,29,36,40,6,111,93.1,1.8,2.2,2.5,0.4,6.9,1496,113,93,7,631,15,97.7,2.3,1087,1,10,4,21,3,7,363,113,67.6,0.1,0.6,0.2,1.3,0.2,0.4,22.6,7,Bexley 025B,6.1,0,0,12.3,-0.7,-0.5,15.5,13,314000,49970,41210,1609,325,249,354,386,295,989
E01000395,Bexley,4.94627,1245,31,114,32,6,183,87.2,2.2,8,2.2,0.4,12.8,1288,140,90.2,9.8,480,19,96.2,3.8,961,14,24,0,49,21,1,261,97,67.3,1,1.7,0,3.4,1.5,0.1,18.3,6.8,Bexley 018B,5,0,0,9.9,-1,-0.9,17.1,17.4,366250,49100,40570,1428,247,280,240,415,246,935
E01000396,Bexley,4.80394,1182,14,133,43,27,217,84.5,1,9.5,3.1,1.9,15.5,1257,142,89.8,10.2,492,15,97,3,873,3,45,1,44,33,1,280,119,62.4,0.2,3.2,0.1,3.1,2.4,0.1,20,8.5,Bexley 018C,8.1,0,0,12.9,-0.6,-1.1,21,23.3,332500,47450,39320,1399,263,251,253,409,223,913
E01000398,Bexley,3.35725,1357,35,121,77,9,242,84.9,2.2,7.6,4.8,0.6,15.1,1378,221,86.2,13.8,585,26,95.7,4.3,941,12,32,0,21,42,5,435,111,58.8,0.8,2,0,1.3,2.6,0.3,27.2,6.9,Bexley 029A,20,0.1,0.1,33,-0.4,-0.9,27.6,20.4,250000,41370,34550,1599,336,280,285,423,275,988
E01000412,Bexley,6.77975,1431,19,130,87,11,247,85.3,1.1,7.7,5.2,0.7,14.7,1469,209,87.5,12.5,617,15,97.6,2.4,1039,9,17,0,55,20,1,430,107,61.9,0.5,1,0,3.3,1.2,0.1,25.6,6.4,Bexley 018E,8.6,0,0,13.6,-0.9,-0.6,28.2,19.8,250000,49080,40550,1678,354,315,372,415,222,1102
E01000416,Bexley,14.2417,759,50,226,496,16,788,49.1,3.2,14.6,32.1,1,50.9,939,608,60.7,39.3,456,61,88.2,11.8,917,45,46,1,68,46,2,288,134,59.3,2.9,3,0.1,4.4,3,0.1,18.6,8.7,Bexley 002A,25.3,0.2,0.1,16.7,-0.4,1.1,32.6,15.2,197750,41190,34400,1547,390,288,330,372,167,990
E01000417,Bexley,6.47468,1265,49,126,177,22,374,77.2,3,7.7,10.8,1.3,22.8,1356,283,82.7,17.3,681,32,95.5,4.5,956,6,24,0,53,49,11,418,122,58.3,0.4,1.5,0,3.2,3,0.7,25.5,7.4,Bexley 006B,19.6,0.1,0.1,17.3,-0.4,0.3,35.7,21.2,230000,44730,37230,1639,281,294,347,464,253,1105
